id,student_id,class_id,date,status
64ce6935-a525-49ad-a907-a34b09e3163e,b2a4465b-4171-40f8-84bf-3823c288eaeb,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
ad73453c-77fd-4d38-bd70-7fe01ae4c0ad,e6598944-8a9c-4e86-9ab2-abf8934dd52d,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
588822c6-a4d3-48d2-a074-371fc67415f0,4e5f93d9-4097-4778-a042-e4b1478e1d6a,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
1d374f69-0d0f-43c3-b8a6-1bd514c33da8,89e5e760-8205-4b37-aa57-9e84196b2ebc,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,absent
cd3086d2-fd11-44c1-813f-3d3cf702bdf0,a58c390c-655e-40f5-bf6b-c77e56d0f722,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
569680e7-57e8-4154-b68c-b9422a88734c,2aca9039-4fbe-40d2-8d57-2f6a0821c203,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
ec91a14b-54ad-461d-abec-20eb51354317,acb854f8-aba5-4023-bf1d-449013cb3448,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
bf32f587-af04-4fb1-96ab-b701ba5afc5c,37d70e87-1953-4cda-ae45-29aef9a0af82,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
579963f3-38fe-407c-8e9f-036099a4d55d,17f1e371-0469-4158-88f6-c638655f6a6a,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
f0307bf8-e8a7-494d-9fbc-c81b076b9a05,f2a19665-2f75-4f5c-85ec-cc12ef6d8b82,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
9164190f-7845-4279-9083-c6763717b0d2,776a3ab5-df87-499b-b59c-490066d1bf16,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
373fec79-bad0-433b-a123-57d097372a26,c91489f9-350e-4222-a384-330cca8e6aab,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
8afac20d-57d9-4db6-a86c-cddf4ef959ae,6e9fd800-48bd-471c-b6a3-7afec9d9067f,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
0b45f904-2cb5-4f9b-9309-5dacc2595195,59d8d95b-b564-4b34-89bf-9321a4d5408c,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,late
eb14670a-b04e-4ebf-a54a-2ee9ee48b021,92d174ce-bac3-4614-b1a5-9f26acbe7fcc,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
f8288791-d819-4cf1-801e-661f35faf0ee,63e0af7a-48db-4658-90dd-090fdb3a380e,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
a1bb3850-26b7-43b7-9e89-5f9bb601c63c,2ff1973d-d4f4-4fda-a472-d5313ea74ffe,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,late
1302f7a6-51ef-4671-837f-62d58d7c2e4f,45303546-9902-4126-bfc1-9d2d7fb5c7f5,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
31befcf5-1e01-4510-a1aa-4b9b7174817c,2b6404c0-5204-430d-9a48-01ea955f1434,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
ad42bef6-0b35-4935-9c9c-ff024b381abd,a4d80272-4a74-4883-83af-4193ed71a4d3,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
a1e1262f-6032-481a-95c7-55047c538604,21683407-a094-4656-9678-8a975e72eeb1,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
18f36280-5660-462b-8353-948601731797,3417364e-15a1-43be-bc92-8396c381fe7f,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
18803d41-63ca-45fa-8cc4-acb6262e1ae0,bd805704-abd4-4713-98ac-6c9e474e1073,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,absent
93917b95-b349-4e2e-8002-b2b7125d0203,9b9ff424-0a26-4761-9de4-e8610799272a,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
842d0bcc-e2f3-478c-ab58-6a72b8c16d91,4d34d01f-8214-4f4e-9e71-824bfa4d6feb,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
621e65ae-3dc5-4258-a40f-71e4bc893ebb,eb70f822-783c-4130-884b-c363dfd420c2,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,absent
497dadff-c794-4e47-b099-8a73d32a1fee,9e3c3217-dbca-4c55-97cc-0a6da122aaf2,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
b6107a95-a31c-4a05-a350-dcc0af51e745,b56499d7-d8be-4423-8ffa-cb688ab86a77,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
2d467da1-1f4b-4ab5-b4d0-8254c37d884b,1cbc7444-026e-4910-b868-28a82f77222e,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
02724050-4bbe-4c7c-a303-97f236becbb5,797ae689-bef8-447f-89b7-9530c0d2aac5,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
6e45ee0e-8524-4716-a685-a22717ed56ef,e8ee8fe1-16a3-44af-9eba-75c32cfd4eb9,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
7245d2cb-df7f-4cc3-89e8-6f334ccdfd58,79c5a94d-db1c-4235-9349-5666b50aba31,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,late
7b4f4282-92ef-4c9d-a669-a59487617a2c,a84f0ef2-d388-4e8a-b25c-63666675ea1a,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
acdb50a7-0532-416c-945c-2a6e2ab4055a,32c26ab6-c641-4ef2-9d1f-94138ab1c28c,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
8abc1cf2-e451-4851-b55b-e13138711b5c,eac86156-3f59-4c9b-b515-04a800a5e871,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
6410a156-75c3-4e26-b100-8db3f1384385,ab1ba33c-b232-4ae7-b280-6cbfdc8d0aa5,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
f7962bc6-f68b-437d-b9db-80598452c07a,8bb84a79-3207-4a7c-8274-1bd98098207f,d6a052bc-8581-4132-b2cd-b7566457753b,2025-12-03,present
