id,course_id,faculty_id,timetable_id,start_time,end_time
d6a052bc-8581-4132-b2cd-b7566457753b,4d6bb408-d52c-48e9-8390-af91ea71500f,d5e79eb3-6145-48d1-bf12-d29162a63c90,cbb9acd6-bc07-4b98-8594-7d5ff3565571,2025-12-03T14:00:00.047510,2025-12-03T15:30:00.047510
f19fcd72-b2e1-4065-a892-af561f962a27,47560c3d-119c-468e-a28f-338c6ff2fe6e,4e55d0c1-5abb-4137-9b0b-8e5cf5fc54dc,c8677e81-89a0-448b-9b49-d62ba2734fb3,2025-12-03T13:00:00.047510,2025-12-03T14:30:00.047510
688e38b0-30aa-464c-94dd-c3a163e7b309,2c0625b9-58b3-4efb-9b42-918932b3e14e,5d2af7be-6b63-41d0-8386-87745c9acbe2,4cff5d7a-8a8a-439c-9cf5-181333bb1022,2025-12-02T10:00:00.047510,2025-12-02T11:30:00.047510
953e361c-7ac8-4d27-a518-826e3998879f,ff3ba614-c520-4ee2-ba6e-f3ab47eaf3d1,f687c13a-b8f4-44dd-8d6e-d7127723ff54,044da9cd-62d9-4702-a9fc-e41e16143b6d,2025-12-02T16:00:00.047510,2025-12-02T17:30:00.047510
15f101cd-dd72-40bf-a8a4-06fbb07051ae,7a633de8-13a3-41f5-b3f2-b71a2fd33ad6,d5e79eb3-6145-48d1-bf12-d29162a63c90,4165b5da-799f-4691-9c90-56a7c5a117f8,2025-12-01T13:00:00.047510,2025-12-01T14:30:00.047510
ad192d71-f686-4a22-b48d-8150c694c8e5,0728281a-5c53-40d0-b4a1-d717888ddaf1,a32ebf22-b2e8-4668-a00a-f878998e5c0c,f83c5d3d-88b9-4869-b0e4-31f29afacfde,2025-12-01T10:00:00.047510,2025-12-01T11:30:00.047510
21849c45-87aa-4f42-b393-5d87e51bede2,49031cc3-80ce-466b-8b8e-3f34a21d7d23,4e55d0c1-5abb-4137-9b0b-8e5cf5fc54dc,524797df-0cb7-4398-b73b-860052fd6e3d,2025-12-01T10:00:00.047510,2025-12-01T11:30:00.047510
ca2e6915-af3a-426a-9cd6-e1a824913cb7,c526e439-a646-47bf-9aab-e2783f8e4462,63b285bb-bd60-40c5-aa2d-1c8dd1dd9a92,8ed342ef-2459-4df5-b827-8e23e3f437e2,2025-12-01T10:00:00.047510,2025-12-01T11:30:00.047510
40a2fa3e-3ecb-4998-a221-830dbb9cb293,ce092910-57cd-4ba1-b5f3-d49a516e1e78,d412e418-cd01-4a0e-9771-361b395032e0,ddc77300-9833-4947-9ab4-0fe3dbc27f0c,2025-12-01T15:00:00.047510,2025-12-01T16:30:00.047510
afd9599f-d446-4db1-bb4a-c02e0e779076,f59ac703-f594-48e7-8827-c317fd037046,73b33b15-dd8f-423f-8953-28d5b89eeb4b,fc23b28e-cf8e-4cbc-bcf7-e4b9ed2217fa,2025-11-28T12:00:00.047510,2025-11-28T13:30:00.047510
