id,course_id,timings
4165b5da-799f-4691-9c90-56a7c5a117f8,7a633de8-13a3-41f5-b3f2-b71a2fd33ad6,"{ 2220,2310 }"
cbb9acd6-bc07-4b98-8594-7d5ff3565571,4d6bb408-d52c-48e9-8390-af91ea71500f,"{ 5160,5250 }"
4cff5d7a-8a8a-439c-9cf5-181333bb1022,2c0625b9-58b3-4efb-9b42-918932b3e14e,"{ 3480,3570 }"
fc23b28e-cf8e-4cbc-bcf7-e4b9ed2217fa,f59ac703-f594-48e7-8827-c317fd037046,"{ 7920,8010 }"
044da9cd-62d9-4702-a9fc-e41e16143b6d,ff3ba614-c520-4ee2-ba6e-f3ab47eaf3d1,"{ 3840,3930 }"
dd4e46cb-1694-4819-b0b0-e2890d53c5ee,893f239e-2bb6-4662-893e-a73f13a7a216,"{ 6360,6450 }"
aa410c92-4bcc-4bff-b789-be9b740c2a9e,982d643e-14cd-4ef9-9cf4-4c49ef855fe7,"{ 7860,7950 }"
d5f810be-01b1-4a3b-9374-b42e35603556,772c96fe-683d-4e56-8af4-2b627d44dfdc,"{ 8160,8250 }"
667ba4de-b718-4544-b9d0-3fdc0ac41f3d,b534da7f-c9ef-4414-b702-05b60083b8a3,"{ 8100,8190 }"
48873bed-fa4d-4bb7-97cc-4d0438347b2b,50670627-6342-4123-ae50-5796ca7892bc,"{ 8040,8130 }"
28fdb774-1caa-40b4-8e3b-24ab1c92ceab,0a704772-73cd-4f27-87ba-4a56f04875b7,"{ 8100,8190 }"
f83c5d3d-88b9-4869-b0e4-31f29afacfde,0728281a-5c53-40d0-b4a1-d717888ddaf1,"{ 2040,2130 }"
773f1226-d3b5-4dd2-933a-15911d4429ca,97383948-df6b-4370-b87c-787ebdc5ca24,"{ 8040,8130 }"
c8677e81-89a0-448b-9b49-d62ba2734fb3,47560c3d-119c-468e-a28f-338c6ff2fe6e,"{ 5100,5190 }"
524797df-0cb7-4398-b73b-860052fd6e3d,49031cc3-80ce-466b-8b8e-3f34a21d7d23,"{ 2040,2130 }"
933b066e-0412-4188-ad31-ba7b587d2bb2,86e255b3-add9-4004-8f42-e1f6b1ce3524,"{ 6660,6750 }"
307fa2d7-cd2a-4cc2-8db0-48e50f15bada,9065f4bf-7557-420d-a6da-81865dbfc601,"{ 7800,7890 }"
8175e53a-1c1c-4845-91d1-a43c7fd01daa,717c8112-4ef0-45ac-92d6-a53339431ff1,"{ 6600,6690 }"
8ed342ef-2459-4df5-b827-8e23e3f437e2,c526e439-a646-47bf-9aab-e2783f8e4462,"{ 2040,2130 }"
ddc77300-9833-4947-9ab4-0fe3dbc27f0c,ce092910-57cd-4ba1-b5f3-d49a516e1e78,"{ 2340,2430 }"
